date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type,cumulative_pnl,cum_max,drawdown
2024-05-09,DAILY_TOTAL,,900,581.3,697.56,,710.9,,-19440.0,,Trailing,3333127.5,3354600.0,-21472.5
2024-05-10,DAILY_TOTAL,,900,1110.1,1332.12,,983.3,,19020.0,,Trailing,3352147.5,3354600.0,-2452.5
2024-05-13,DAILY_TOTAL,,900,986.85,1184.22,,943.8,,6457.5,,Trailing,3358605.0,3358605.0,0.0
2024-05-14,DAILY_TOTAL,,900,802.95,963.54,,728.95,,11100.0,,Trailing,3369705.0,3369705.0,0.0
2024-05-15,DAILY_TOTAL,,900,681.4,817.68,,597.2,,12630.0,,Trailing,3382335.0,3382335.0,0.0
2024-05-16,DAILY_TOTAL,,900,546.55,655.86,,672.95,,-18960.0,,Trailing,3363375.0,3382335.0,-18960.0
2024-05-17,DAILY_TOTAL,,900,1021.1,1225.32,,883.85,,20587.5,,Trailing,3383962.5,3383962.5,0.0
2024-05-18,DAILY_TOTAL,,900,873.8,1048.56,,833.95,,5977.5,,Trailing,3389940.0,3389940.0,0.0
2024-05-21,DAILY_TOTAL,,900,779.4,935.28,,726.5,,7935.0,,Trailing,3397875.0,3397875.0,0.0
2024-05-22,DAILY_TOTAL,,900,702.65,843.18,,612.75,,13485.0,,Trailing,3411360.0,3411360.0,0.0
2024-05-23,DAILY_TOTAL,,900,569.8,683.76,,708.7,,-20835.0,,Trailing,3390525.0,3411360.0,-20835.0
2024-05-24,DAILY_TOTAL,,900,1094.9,1313.88,,992.5,,15360.0,,Trailing,3405885.0,3411360.0,-5475.0
2024-05-27,DAILY_TOTAL,,900,944.65,1133.58,,874.7,,10492.5,,Trailing,3416377.5,3416377.5,0.0
2024-05-28,DAILY_TOTAL,,900,880.9,1057.08,,780.55,,15052.5,,Trailing,3431430.0,3431430.0,0.0
2024-05-29,DAILY_TOTAL,,900,790.8,948.96,,665.45,,18802.5,,Trailing,3450232.5,3450232.5,0.0
2024-05-30,DAILY_TOTAL,,900,597.95,717.54,,723.05,,-18765.0,,Trailing,3431467.5,3450232.5,-18765.0
2024-05-31,DAILY_TOTAL,,900,2604.2,3125.04,,2577.3,,4035.0,,Trailing,3435502.5,3450232.5,-14730.0
2024-06-03,DAILY_TOTAL,,900,2170.75,2604.9,,2136.5,,5137.5,,Trailing,3440640.0,3450232.5,-9592.5
2024-06-04,DAILY_TOTAL,,900,2133.6,2560.32,,2837.85,,-105637.5,,Trailing,3335002.5,3450232.5,-115230.0
2024-06-05,DAILY_TOTAL,,900,1752.6,2103.12,,2109.95,,-53602.5,,Trailing,3281400.0,3450232.5,-168832.5
2024-06-06,DAILY_TOTAL,,900,949.0,1138.8,,570.2,,56820.0,,Trailing,3338220.0,3450232.5,-112012.5
2024-06-07,DAILY_TOTAL,,900,1426.9,1712.28,,1733.5,,-45990.0,,Trailing,3292230.0,3450232.5,-158002.5
