date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type
2019-03-05,DAILY_TOTAL,,900,530.15,636.18,,589.15,,-8850.0,,Trailing
2019-02-26,NIFTY28FEB1910800CE,SELL,150,70.95,85.14,2019-02-26 09:16:00,72.9,Yes,-292.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910800PE,SELL,150,50.05,60.059999999999995,2019-02-26 09:15:00,49.7,Yes,52.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1911000CE,SELL,150,7.9,9.48,2019-02-26 09:15:00,5.5,Yes,360.0,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1911000PE,SELL,150,212.0,254.39999999999998,2019-02-26 09:15:00,177.5,Yes,5175.0,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910600CE,SELL,150,200.0,240.0,2019-02-26 09:15:00,237.35,Yes,-5602.5,2019-02-26 15:21:00,Trailing
2019-02-26,NIFTY28FEB1910600PE,SELL,150,11.85,14.219999999999999,2019-02-26 09:15:00,18.0,Yes,-922.5,2019-02-26 15:21:00,Trailing
2019-02-26,DAILY_TOTAL,,900,552.75,663.3,,560.95,,-1230.0,,Trailing
2019-03-07,NIFTY07MAR1911050CE,SELL,150,38.0,45.6,2019-03-07 09:15:00,15.45,Yes,3382.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1911050PE,SELL,150,24.85,29.82,2019-03-07 09:15:00,27.2,Yes,-352.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1911250CE,SELL,150,0.4,0.48,2019-03-07 09:15:00,0.05,Yes,52.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1911250PE,SELL,150,198.8,238.56,2019-03-07 09:58:00,189.9,Yes,1335.0,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1910850CE,SELL,150,179.85,215.82,2019-03-07 09:15:00,188.5,Yes,-1297.5,2019-03-07 09:23:00,Trailing
2019-03-07,NIFTY07MAR1910850PE,SELL,150,0.55,0.66,2019-03-07 09:15:00,0.6,Yes,-7.5,2019-03-07 09:23:00,Trailing
2019-03-07,DAILY_TOTAL,,900,442.45,530.94,,421.7,,3112.5,,Trailing
2019-03-12,NIFTY14MAR1911250CE,SELL,150,31.75,38.1,2019-03-12 09:15:00,34.85,Yes,-465.0,2019-03-12 09:18:00,Trailing
2019-03-12,NIFTY14MAR1911250PE,SELL,150,60.0,72.0,2019-03-12 09:15:00,52.4,Yes,1140.0,2019-03-12 09:18:00,Trailing
2019-03-12,NIFTY14MAR1911450CE,SELL,150,1.15,1.38,2019-03-12 09:15:00,1.95,Yes,-120.0,2019-03-12 09:18:00,Trailing
2019-03-12,NIFTY14MAR1911450PE,SELL,150,160.0,192.0,2019-03-12 10:44:00,163.4,Yes,-510.0,2019-03-12 09:18:00,Trailing
2019-03-12,NIFTY14MAR1911050CE,SELL,150,181.25,217.5,2019-03-12 09:15:00,183.1,Yes,-277.5,2019-03-12 09:18:00,Trailing
2019-03-12,NIFTY14MAR1911050PE,SELL,150,12.9,15.48,2019-03-12 09:15:00,6.05,Yes,1027.5,2019-03-12 09:18:00,Trailing
2019-03-12,DAILY_TOTAL,,900,447.05,536.46,,441.75,,795.0,,Trailing
2019-03-06,NIFTY07MAR1911000CE,SELL,150,60.35,72.42,2019-03-06 09:15:00,51.15,Yes,1380.0,2019-03-06 15:13:00,Trailing
2019-03-06,NIFTY07MAR1911000PE,SELL,150,51.5,61.8,2019-03-06 09:15:00,17.9,Yes,5040.0,2019-03-06 15:13:00,Trailing
2019-03-06,NIFTY07MAR1911200CE,SELL,150,0.8,0.96,2019-03-06 09:15:00,1.05,Yes,-37.5,2019-03-06 15:13:00,Trailing
2019-03-06,NIFTY07MAR1911200PE,SELL,150,188.25,225.9,2019-03-06 09:15:00,150.85,Yes,5610.0,2019-03-06 15:13:00,Trailing
2019-03-06,NIFTY07MAR1910800CE,SELL,150,219.05,262.86,2019-03-06 09:15:00,243.2,Yes,-3622.5,2019-03-06 15:13:00,Trailing
2019-03-06,NIFTY07MAR1910800PE,SELL,150,5.4,6.48,2019-03-06 09:15:00,3.1,Yes,345.0,2019-03-06 15:13:00,Trailing
2019-03-06,DAILY_TOTAL,,900,525.35,630.42,,467.25,,8715.0,,Trailing
2019-03-11,NIFTY14MAR1911100CE,SELL,150,36.05,43.26,2019-03-11 09:15:00,80.0,Yes,-6592.5,2019-03-11 14:47:00,Trailing
2019-03-11,NIFTY14MAR1911100PE,SELL,150,95.65,114.78,2019-03-11 09:15:00,30.2,Yes,9817.5,2019-03-11 14:47:00,Trailing
2019-03-11,NIFTY14MAR1911300CE,SELL,150,1.85,2.22,2019-03-11 09:15:00,5.9,Yes,-607.5,2019-03-11 14:47:00,Trailing
2019-03-11,NIFTY14MAR1911300PE,SELL,150,256.65,307.97999999999996,2019-03-11 09:15:00,129.45,Yes,19080.0,2019-03-11 14:47:00,Trailing
2019-03-11,NIFTY14MAR1910900CE,SELL,150,160.0,192.0,2019-03-11 09:15:00,254.0,Yes,-14100.0,2019-03-11 14:47:00,Trailing
2019-03-11,NIFTY14MAR1910900PE,SELL,150,19.0,22.8,2019-03-11 09:15:00,4.95,Yes,2107.5,2019-03-11 14:47:00,Trailing
2019-03-11,DAILY_TOTAL,,900,569.2,683.04,,504.5,,9705.0,,Trailing
2019-03-14,NIFTY14MAR1911400CE,SELL,150,13.0,15.6,2019-03-14 09:15:00,2.8,Yes,1530.0,2019-03-14 11:24:00,Trailing
2019-03-14,NIFTY14MAR1911400PE,SELL,150,49.0,58.8,2019-03-14 09:15:00,51.55,Yes,-382.5,2019-03-14 11:24:00,Trailing
2019-03-14,NIFTY14MAR1911600CE,SELL,150,0.2,0.24,2019-03-14 09:15:00,0.05,Yes,22.5,2019-03-14 11:24:00,Trailing
2019-03-14,NIFTY14MAR1911600PE,SELL,150,245.1,294.12,2019-03-14 09:15:00,268.45,Yes,-3502.5,2019-03-14 11:24:00,Trailing
2019-03-14,NIFTY14MAR1911200CE,SELL,150,155.45,186.54,2019-03-14 09:15:00,139.3,Yes,2422.5,2019-03-14 11:24:00,Trailing
2019-03-14,NIFTY14MAR1911200PE,SELL,150,1.1,1.32,2019-03-14 09:15:00,0.55,Yes,82.5,2019-03-14 11:24:00,Trailing
2019-03-14,DAILY_TOTAL,,900,463.85,556.62,,462.7,,172.5,,Trailing
2019-03-15,NIFTY20MAR1911400CE,SELL,150,55.6,66.72,2019-03-15 09:15:00,123.0,Yes,-10110.0,2019-03-15 14:19:00,
2019-03-15,NIFTY20MAR1911400PE,SELL,150,79.05,94.86,2019-03-15 09:15:00,43.75,Yes,5295.0,2019-03-15 14:19:00,
2019-03-15,NIFTY20MAR1911600CE,SELL,150,9.75,11.7,2019-03-15 09:15:00,30.6,Yes,-3127.5,2019-03-15 14:19:00,
2019-03-15,NIFTY20MAR1911600PE,SELL,150,225.05,270.06,2019-03-15 09:15:00,175.1,Yes,7492.5,2019-03-15 14:19:00,
2019-03-15,NIFTY20MAR1911200CE,SELL,150,180.0,216.0,2019-03-15 09:15:00,300.7,Yes,-18105.0,2019-03-15 14:19:00,
2019-03-15,NIFTY20MAR1911200PE,SELL,150,15.0,18.0,2019-03-15 09:15:00,11.15,Yes,577.5,2019-03-15 14:19:00,Trailing
2019-03-15,DAILY_TOTAL,,900,564.45,677.34,,684.3,,-17977.5,,Trailing
2019-03-13,NIFTY14MAR1911300CE,SELL,150,45.0,54.0,2019-03-13 09:15:00,47.5,Yes,-375.0,2019-03-13 14:40:00,Trailing
